ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição,"Metadado: _ai_generated_content","Metadado: _headstart_post"
58,simple,ebook001,"Aprenda Python do Zero",1,0,visible,"Guia introdutório para Python.","Este livro aborda os fundamentos da programação em Python.",,,taxable,,1,,,0,0,,,,,1,,,"60,00","E-books, E-books > Programação, E-books > Programação > Python",Python,,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_204725341.png,,,,,,,,,0,,
59,simple,ebook002,"Data Science para Iniciantes",1,1,visible,"Data science com Python.","Um guia completo sobre como usar Python para data science.",,,taxable,,1,,,0,0,,,,,1,,,"46,50","E-books > Programação > Ciência de dados, E-books, E-books > Programação","Data Science",,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_204725341.png,,,,,,,,,0,,
60,simple,ebook003,"Algoritmos em Português",1,0,visible,"Algoritmos e estruturas de dados.","Aprenda sobre algoritmos avançados e como implementá-los.",,,taxable,,1,,,0,0,,,,,1,,,"39,99","E-books > Programação > Algoritmos, E-books, E-books > Programação",Algoritmos,,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_204725341.png,,,,,,,,,0,,
61,simple,ebook004,"Introdução à Inteligência Artificial",1,0,visible,"Fundamentos de IA.","Um guia introdutório sobre os princípios básicos de IA.",,,taxable,,1,,,0,0,,,,,1,,,"67,99","E-books, E-books > Programação > Inteligência Artificial, E-books > Programação","Inteligência Artificial",,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_204725341.png,,,,,,,,,0,,
62,simple,ebook005,"Programação Orientada a Objetos com Java",1,0,visible,"Java para iniciantes.","Aprenda a programar em Java e a criar programas orientados a objetos.",,,taxable,,1,,,0,0,,,,,1,,,"54,90","E-books, E-books > Programação > Java, E-books > Programação",Java,,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_204725341.png,,,,,,,,,0,,
68,simple,,"Vintage Typewriter",'-1,0,visible,,"A hit spy novel or a love letter? Anything you type using this vintage typewriter from the 20s is bound to make a mark.",,,taxable,,1,,,0,0,,,,,1,,,90,E-books,,,http://localhost/wordpress/wp-content/uploads/2024/05/writing-typing-keyboard-technology-white-vintage.jpg,,,,,,,,,0,87d9441a8f63f7df63b4e7e1255e70ab,1
77,simple,,"Receitas de Família",1,0,visible,"Receitas tradicionais para todas as ocasiões.","Um compilado de receitas passadas de geração em geração.",,,taxable,,1,,,0,0,,,,,1,,,"79,90","E-books > Culinária > Almoço, E-books > Culinária, E-books > Culinária > Doces e sobremesas, E-books",Culinária,,,,,,,,,,,0,,
78,simple,,"Doces e Sobremesas",1,1,visible,"Deliciosas opções de doces e sobremesas.","Aprenda a fazer sobremesas incríveis para adoçar sua vida.",,,taxable,,1,,,0,0,,,,,1,,,56,"E-books > Culinária, E-books > Culinária > Doces e sobremesas, E-books",Culinária,,,,,,,,,,,0,,
79,simple,,"Cozinha Italiana",1,0,visible,"A arte da culinária italiana.","Descubra os segredos por trás dos pratos italianos mais famosos.",,,taxable,,1,,,0,0,,,,,1,,,80,"E-books > Culinária > Almoço, E-books > Culinária, E-books",Culinária,,,,,,,,,,,0,,
80,simple,,"Comidas de Boteco",1,0,visible,"Petiscos e pratos típicos de boteco.","Receitas simples e saborosas para reunir os amigos.",,,taxable,,1,,,0,0,,,,,1,,,76,"E-books > Culinária > Almoço, E-books > Culinária, E-books > Culinária > Doces e sobremesas, E-books",Culinária,,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_205700701.png,,,,,,,,,0,,
81,simple,,"Refeições Saudáveis",1,0,visible,"Opções saudáveis e saborosas para o dia a dia.","Receitas fáceis e nutritivas para uma alimentação equilibrada.",,,taxable,,1,,,0,0,,,,,1,,,"50,00","E-books > Culinária > Almoço, E-books > Culinária, E-books",Culinária,,http://localhost/wordpress/wp-content/uploads/2024/05/imagem_2024-05-24_210343366.png,,,,,,,,,0,,
